tomotope_triangle,w33_rainbow_line_id,full_quartet,missing_class_to_complete_quartet,a0,a1,a2,a3,pg_point,support_weight
"(3,-4)",3,sec0_m0 sec1_m2 sec2_m1 sec3_m1,sec1_m2,0,2,1,1,0111,3
"(3,-1)",6,sec0_m2 sec1_m1 sec2_m1 sec3_m0,sec0_m2,2,2,2,0,1110,3
"(2,-3)",8,sec0_m2 sec1_m0 sec2_m0 sec3_m2,sec0_m2,2,1,1,1,1111,4
"(3,-2)",14,sec0_m2 sec1_m1 sec2_m0 sec3_m1,sec0_m2,2,2,1,2,1111,4
"(3,-3)",15,sec0_m0 sec1_m1 sec2_m0 sec3_m0,sec1_m1,0,1,0,2,0101,2
"(4,-1)",16,sec0_m1 sec1_m1 sec2_m0 sec3_m2,sec2_m0,1,0,2,2,1011,3
"(2,-4)",17,sec0_m2 sec1_m0 sec2_m1 sec3_m1,sec3_m1,2,1,2,2,1111,4
"(4,-3)",18,sec0_m0 sec1_m0 sec2_m2 sec3_m2,sec1_m0,0,0,2,0,0010,1
"(4,-2)",20,sec0_m2 sec1_m1 sec2_m2 sec3_m2,sec3_m2,2,2,0,1,1101,3
"(1,-3)",22,sec0_m2 sec1_m0 sec2_m2 sec3_m0,sec0_m2,2,1,0,0,1100,2
"(1,-4)",23,sec0_m1 sec1_m0 sec2_m2 sec3_m1,sec2_m2,1,2,1,0,1110,3
"(2,-2)",28,sec0_m2 sec1_m2 sec2_m0 sec3_m0,sec3_m0,2,0,1,0,1010,2
"(2,-1)",30,sec0_m2 sec1_m2 sec2_m1 sec3_m2,sec0_m2,2,0,2,1,1011,3
"(1,-1)",32,sec0_m1 sec1_m2 sec2_m1 sec3_m0,sec2_m1,1,1,0,1,1101,3
"(1,-2)",39,sec0_m2 sec1_m2 sec2_m2 sec3_m1,sec0_m2,2,0,0,2,1001,2
